naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek
FlexClipz- changing the standard for face-mask clips,Randy Pawlowski,US,Hardware,25,25000,1433,0,FlexClipz is an energy absorbing facemask clip for football helmets.  Our mission is to make our Clipz the new standard
Operation Unfathomable,Hydra Collective,US,Tabletop Games,519,4000,21756,1,From the author of The Dungeon Dozen! A weird underworld adventure and campaign setting for Swords & Wizardry and other old school rpgs
Apocalypse. Ready.: Clothing+Accessories as Figurative Armor,AZMARA ASEFA,US,Fashion,114,10000,11398,1,Melding form and function in a collection that empowers women to take on whatever the day throws at them.
Free RPG Maker Horror Game Remake - The Hunt,Peddler Enterprises LLC,US,Video Games,0,200,0,0,Help release THE HUNT w/ improved visuals and puzzles! Plus hand-drawn animation and is 100% free! Money will be used future games too!
Are You Militia-US? (Malicious),Joel Deese & Mark Gerbino,US,Apparel,15,15000,1092,0,WE ARE A BOLD AMERICAN APPAREL COMPANY MOVEMENT
Petranima,Amaury Emond,FR,Art,12,1200,353,0,"Petranima is an artistic performance encompassing sculpture, illustration, writing and sound."
SouledOut Cinema,SouledOut Cinema,US,Film & Video,18,75000,1305,0,SouledOut Cinema is bringing your favorite Black films back to a movie theater near you. Plus hot food in a cool atmosphere. You ready?
Essential Purse,Kaliente' Dixson,US,Accessories,1,1050,10,0,This fashionable handbag has what you need while out and about to make your day flow by much smoother.
"BIGGER, BETTER, BAMBOO BLANKETS",Bambino Land,US,Product Design,125,6000,10733,1,"100% bamboo blankets for babies, toddlers, children-adults. Soft, breathable and eco-friendly.   **Bigger Size = More Love**"
Em'z Candle | The flame that means more than light,Yves Hachler,CA,Product Design,1,5000,1,0,You want to remember some of your closest loved ones; Emz Candle will make it this wayLight up to remember!
Are You Militia-US? (Malicious),Joel Deese & Mark Gerbino,US,Apparel,15,15000,1092,0,WE ARE A BOLD AMERICAN APPAREL COMPANY MOVEMENT
Ear-On,Baheer,GB,Wearables,77,50000,11515,0,"World's smallest & smartest earbuds: works with hand gestures, Water proof and has health features."
Force Galaxia: AKORI,Andre Owens,US,Comics,17,3300,551,0,"Join the Force Galaxia universe with this stand alone book featuring the Bovine League, the Milky Way Defense Marines and PAX Force G."
"Dog, Pony, Elephant, or Ass? A CoM project.",Jared Hasaname,US,Experimental,2,2500,250,0,"Which would you elect?  A dog, pony, elephant, or ass?  Pick an animal, get a postcard!  (Or a ring, if you want!)"
RECOVERING,Logan Gardner,US,Film & Video,28,3000,3760,1,A recovering perfectionist must seek help from her estranged sister and a famously sober rockstar to save her unique treatment center.
Toastilla (The Coolest Invention Since Sliced Bread),Rudy Gallego II,US,Product Design,209,12000,12274,1,Our extended accessory for your toaster puts \\
Ctrl+C (2016) The film,Wattz Entertainment Studios,US,Film & Video,0,8000,0,0,When Max gets an unexpected knock on the door everything he knows to be true has turned out to be a lie.  Now he must fight to survive
Brelynne's Christmas Card Art,Brelynne Gunderson,US,Illustration,16,350,376,1,"Adorable and unique Christmas Card prints, hand drawn and designed by  Brelynne Gunderson. Warm the hearts of your friends and family!"
Chase's Creatures Coloring Pages Book,Rhonda Chase,US,Art Books,45,2000,2137,1,Color your way through the whimsical world of Chases Creatures in the first ever coloring pages book by Rhonda Chase
"88 Constellation, 1 poster, Light off and Let the star glow",MoonMARES,AU,Graphic Design,48,2700,2785,1,"88 Constellation, one poster, Light off and Let the star glow!"
Moonstone Fantasy Skirmish Game,Goblin King Games,GB,Tabletop Games,552,16000,54360,1,Moonstone is a Tabletop Skirmish Game for 2-4 players set in a wonderfully whimsical storybook world where players bluff to win.
Lucky Bastard Co. Original Handmade Gentlemen's Lip Balm,Chad Lieske,US,DIY,1069,28000,60703,1,This ain't cherry chapstick. It's lip balm... for men. Handmade by the fellas that started it.
Worlds biggest working Titanic model kit!,Bernie,AU,Product Design,4,20000,33,0,"This project will be to produce an accurate, 11.2 meter (36 foot), working steam prototype of the infamous RMS Titanic."
Coffee?,Tom,NL,Food,0,9500,0,0,"Some people drink their coffee black, others use milk. Some people want sugar in theirs. Drinking coffee will never be the same"
The Marathon Performance Dress Sock by Mr. Davis,John McClain,US,Accessories,474,15000,16625,1,"Keep your feet happy with nano-tech powered socks. Moisture wicking, blister prevention and arch support make for all day comfort."
\\,Mario Kyriacou,ES,Fiction,0,2000,0,0,To all those Take That fans be a part of a brand new novel soon to be released on Amazon Books & Kindle by Mal Kyri called \\
JOBER,David Desaulniers,CA,Apps,1,75000,1,0,"Hi everyone, I need financing for a smart phone application. This application will help your community with coordination for services."
Markiplier vs The Psycho Fangirl,Samantha Jacob,US,Video Games,13,7000,39,0,Markiplier Fan Game that has been in the works for almost 2 years now! We're looking for funding to hire an animator!
AER - Throw your GoPro,AERVIDEO,NL,Camera Equipment,1947,70000,123602,1,"AER lets you shoot aerial photos and videos, simply by throwing your GoPro! Compatible with GoPro HERO 3+, 4 and 5."
"Chimney Cake, Baumstriezel,",inna-egon papp,CH,Food Trucks,2,50000,26,0,Genieen Sie einen Geschmackerlebnis aus unsere Siebenbrgischen Gebck Tradition
Shibao Baseball Cap,Hyung Cho,US,Fashion,1,2000,36,0,Kawaii Shibao Baseball Cap
"RGB Xmas Tree kits for Raspberry Pi, micro:bit & Codebug",Andrew Gale,GB,DIY Electronics,137,750,1203,1,"Colourful soldering and coding fun for your Raspberry Pi, BBC micro:bit or Codebug!"
Politicos,Logan J. Gendron,US,Tabletop Games,6,5000,387,0,"A whimsical game of American politics!  Learn checks & balances, voting, and debate while laughing at the leaders who mismanage America"
Peru Easy Cleaner,Shondra Perry&Jelani Gray,US,Footwear,1,300,20,0,"Easy, Effective and Efficient, the 3 E's of Peru! A homemade, natural shoe cleaner to brighten up your day."
Vintage Playa Clothing,Deldrick Hunt,US,Fashion,1,10000,1,0,Vintage playa clothing a streetwear & lifstyle brand in Baton Rouge Louisiana
