naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek 
DUNGEON DEGENERATES - HAND OF DOOM Fantasy Board Game,Sean aberg,US,Tabletop Games,1061,35000,79161,1,"Dark Fantasy Board Game with a classic RPG feel. Wandering outcasts look for trouble in the grim, monster-infested Wrstreich!"
CAWM - Champion Alliance of Western Massachusetts,Heroic Mass Productions,US,Comedy,12,9000,1025,0,A start-up Web series about a retired hero and a young artist as they form a team of super heroes that battle evil forces in Western MA
Ridiculously high-quality leather goods for low prices!,Bjorn Talbot,US,Product Design,20,2500,1245,0,"Luxury quality. Low price. Backpacks, wallets, flasks... all our best stuff offered up for the last time before they're limited edition"
"DUALBAND, the Leather NFC Smart Watch Band",Marco G,US,Wearables,7,12000,233,0,"A Leather Smart watch Band, that NEVER needs to be charged for only $37!"
The Southern Rock Hall of Fame & Museum,Michael Buffalo Smith,US,Rock,7,5000,421,0,"A museum that pays tribute to the greats of Southern Rock, including an annual awards ceremony."
Starcade: An Arcade Style Micro Game for 1-3 Players,Never Peak Games,US,Tabletop Games,506,1000,4784,1,"A Retro inspired space game with 3 distinct game modes: SOLO, Player vs Player, and CO-OP in one pack! Only $10 with free US Shipping."
mDietGuru - Comprehensive Interactive Health & Wellnes App,eMeN Global,US,Apps,3,20000,511,0,"Wellness app with 12K+ food items and real-time Pedometer tracking, Dedicated Dietician, Nutritionist, naturopathist and Yoga expert."
ScratchyCAD: Parametric 3D Design Software For Everyone.,ScratchyCAD,US,3D Printing,298,25000,8940,0,"Easy to learn 3D design software for 3D printing, animation, and game creation using a block based programming language."
Chef Patate,Chef Patate,CH,Restaurants,2,15000,31,0,"New, fresh, healthy , fast ! Finally a quick restoration project with a large selection of products! Discover : Potato Head !"
Rise Up: The Game of People and Power,Toolbox for Education and Social Action,US,Tabletop Games,740,35000,56180,1,Build your movement. Beat the system. A board game about people winning togethereven when the cards are stacked against us.
The Full Stack Developer Bundle - Learn By Building 40+ Apps,Eduonix Learning Solutions,US,Technology,843,1500,37414,1,Learn Full Stack Development by building real world apps. 40+ hrs of tutorials to enhance skills for developers across multiple domains
Gazpacho Manchego International,Bea,ES,Food,0,15000,0,0,"My dream is to spread all around the world this unique and exquisite, mouth-watering Spanish dish. I'll create an easy-to-prepare pack"
Build-A-Burger - The Card Game,Heinous Games,US,Tabletop Games,116,11000,3368,0,"A quick to learn, quick to play party game for all ages.  Build your burger up, or tear others down.  Just watch out for the cockroach!"
Loungaroo - The Revolutionary Travel Blanket,Melbourne Nights LLC,US,Product Design,163,10000,10262,1,"With 8 features - made with premium material. It will cover you head to toe, and doubles as a comfortable pillow."
The Modern Alpha Magazine,Rob,GB,Publishing,0,5000,0,0,We are all alpha in our own way. This magazine looks at what it is to be an alpha male in this world full of big personalities.
"NYC Bullet Map - One Map, One City",Anthony Denaro,US,Graphic Design,271,8000,9861,1,"NYC Subway and Buses together, in a beautiful, single map and app.Great for navigating and for wall-hanging."
Itty Bitty & Big Etta ...An illustrated book,Katherine Dunn,US,Art Books,132,12000,9871,0,"A poetic illustrated tale of a brave kitten who had wings all along and no matter the consequences, chose to be her ownself."
Hand Made Leather Projects,Christina Mavity,CA,Crafts,2,3500,260,0,Fantastic hand made leather work. Need set up funding to purchase tools and materials.
"Nilaja, princesse belle, douce et courageuse",Maa'm,FR,Children's Books,3,4000,50,0,C'est l'histoire d'une princesse africaine qui se lance  la recherche des quatre objets les plus uniques de la Totalit.
Postcards of Iceland,Gerard van den Akker,NL,Photography,2,250,109,0,"Sets of postcards with photo's from Iceland. Save them, or send them to friends and family."
Isaac Newton's Principia Mathematica Reissue,Kronecker Wallis,ES,Publishing,1076,35000,56504,1,Books are something to touch and look at. Not just read. This is a very thorough and meticulously-produced edition.
Eden vs The Baby - A Children's book,Liahona Hunt,US,Children's Books,118,6200,6569,1,The heart-warming story of a spunky young girl who uncovers the many pitfalls of being a big sister. Perfect for any growing family.
Unique photo book highlighting the beauty of street vendors,Loes Heerink,NL,People,377,3700,12231,1,A photography book filled with amazing pictures showcasing the diversity in colors and the life of street vendors in Hanoi.
THE SALEM SOCIETY,Richard savory,GB,Comic Books,16,2000,239,0,Are you a hideous creature in need of protection? Then The Salem Society is the place for you! A story that roots for the monsters!
Otra historia sin final (Tu prximo libro de 'poesa'),Alejandro Marn Menndez,ES,Poetry,107,700,2465,1,"Su voz te atrae y te paras a escucharle. Empieza a contarte, de forma concisa, esos momentos que han marcado su vida. Y tu vida sigue."
Dungeon Cup,Red Helm,US,Tabletop Games,151,7000,7530,1,Beer Pong with strategic card game mechanics and role playing! Players choose a unique character and forge their own deck of cards!
Monro Clothing,Monika Roache,NZ,Fashion,0,5000,0,0,"Unique clothing, that's comfortable with a basic but sophisticated design."
The Eagle By CAB Motorworks - The Ultimate In Green Motion,Chris Barnes,US,Technology,14,50000,10777,0,"The Ultimate Mix of Performance, Durability, and Value for a High Powered Electric Bike."
Credence Filter,Charlie Carlo,US,Video Games,17,40000,482,0,A sci-fi exploration RPG for PC/Steam with nihilistic themes and challenging gameplay. There are also aliens.
The Cooking Pot - Spanish / English Reader for Adults,Reinette Visser,ES,Fiction,158,7000,7402,1,This is a cosy mystery written in both Spanish and English so that we can read Spanish without losing the plot.
The 10th Anniversary of the Dance Gallery Festival,The Dance Gallery Festival,US,Dance,33,5000,5088,1,Support our 10th Anniversary Season and help us to expand the opportunities we offer to up and coming choreographers & dancer artists!
SpiderLight Holster,Spider Holster,US,Photography,643,30000,73413,1,"The perfect companion for anyone who wants an easy draw-from-the-hip, no strap solution to take your camera anywhere."
"Agents of G.A.I.A. (for Pathfinder, 5e, and Savage Worlds)","Battlefield Press, Inc.",US,Tabletop Games,97,2000,2005,1,"It is the world as we know it, but strange things are lurking in the shadows. It is up to the Agents of G.A.I.A. to protect you."
Nindhita's Magic Hats. nindhitas.selz.com,Joe Wyman,US,Fashion,0,3500,0,0,"Unique hand dyed and hand made, each is one of a kind made with 100% Batik fabric. Hats also reverses inside out to become a second hat"
\\,Lindsey,US,Art,0,300,0,0,"Yarn hangings made from real sticks and different colored/ textured yarn. Various sizes, shapes, colors and styles."
Chicken Fried Toys Dime Novel Legends 1:18th Action Figures,"Chicken Fried Toys, LLC",US,Product Design,565,125000,155687,1,"Ready for a unique ride through the old West? CFT brings 15 unique 1:18th action figures to your collection! Saddle up, and come play!"
Real-Life Vegan: Big Book of Whole-Food Success! +eCourse (Canceled),Victoria Laine,CA,Nonfiction,47,55000,4387,0,"An entertaining, educational, inspirational, and how-to guidebook for anyone on a journey to health with delicious whole plant foods!"
Margo's Lullaby,Barbara Groves,US,Fiction,0,300,0,0,An exploration into a female mass shooter. The aftermath and how it almost destroyed her family.
"Jordan's Castle, Card Game",Sheldon L. Overlock,US,Tabletop Games,9,100,100,1,A fun and exciting new two person card game focused on strategy! Easy to pick up but the strategies are endless
THE MEDITERRANEAN SONGS PROJECT,Szymon,GB,Classical Music,1,34400,5,0,"An amazing mediterranean songs recording with a full orchestra, with promotional concert.You like Andrea Bocelli? You will love us!"
GENERATION ZAPPED,Sabine El Gemayel,US,Documentary,372,35000,47076,1,This is a solution oriented doc investigating health risks associated with wireless technology & what the FCC doesn't want you to know!
Worlds first flavored Ouzo,George Zaharioudakis,US,Drinks,1,550000,4,0,Since the 14th century Ouzo has remained the same until now. Here's your chance to be apart of creating the worlds first flavored Ouzo.
Taranis Guitar Gear Donation,Tyler DePineda,US,Metal,2,500,70,0,"Taranis needs your help! With costly endorsements and the cost of being on the road, we need a little extra help for new gear! \\\\m/"
American Football Simulation,Joe Frenia,US,Video Games,1,100000,60,0,Create an American football simulation that would bring a realistic franchise building game to the PC
Modulo SFP GPON para Fibra optica con S/N personalizado,Pablo Trevio Llorens,ES,Hardware,1,1000,108,0,"Este modulo SFP GPON permitira eliminar por completo la ONT y Router de tu actual ISP y usar tu Propio Router Cisco,Mikrotik..esc"
Boucle publie son premier magazine papier,Eliane Bourque,CA,Publishing,133,5000,5037,1,"Boucle publie son premier magazine papier afin de briser les tabous et de clbrer la diversit corporelle, culturelle et sexuelle!"
Eastern Air Lines Shuttle Flight 1320 - FILM,Scott Wallace,US,Shorts,42,2200,4730,1,"On Tuesday March 17, 1970  St. Patricks Day, A lone gunman stormed the cockpit of Eastern Air Lines Shuttle Flight 1320"
F.O.B,Lewis \\,GB,Video Games,8,25000,400,0,F.O.B is a 3D Tactical and Logistics game in which you oversee realistic deployments of a NATO armed forces infantry company.
THE KICKST-ART-BOOK: A \\,Certifiable Studios,US,Illustration,267,97,12204,1,A fully illustrated Pre-Retrospective look forward at where Certifiable Studios has gone in order to advance to where they are heading.
DEFDEX hand-painted skateboard deck workshop upgrade,Thomas Dravai,NZ,Woodworking,4,1500,342,0,"DEFDEX is small but growing business based in Auckland, New Zealand producing hand-painted skateboard decks, blank decks & uncut decks"
E-commerce Home Design,Dan & Jim,SG,Web,1,20000,2,0,The future of Home Designing
On the same page - a documentary about the new era of comics,Small Boss,IT,Documentary,24,25000,1128,0,"A documentary about a new era of talented artists and their friendship, supported by an entirely new audience."
Danger The Game (Canceled),Pixel & Paper Studios,US,Tabletop Games,88,12000,4074,0,DANGER is a storytelling party card game that is inspired by warning signs ramped up to the hilariously absurd.
The Comedy Project,Ben Wilke,US,Spaces,173,25000,29531,1,"An improv, sketch and experimental comedy and cocktail venue in downtown Grand Rapids, Michigan"
COLORING ON THE ROAD,Lavaun Heaster,US,Mixed Media,15,1000,1000,1,Building an expanded audience through high contrast exciting black & white art created for public display and fun coloring products.
'Na Cosetta Project - An Acoustic Music Project,Andrea Cirillo,IT,Music,2,800,10,0,"Voice, ukulele, guitar and percussions: unusual sound for original music. We want to share with you our recorded music."
Article Three,Anna Jakobsson Lund,SE,Young Adult,50,15000,15325,1,A dark adventure that will have you forget to breathe - without stereotypical characters and love triangles.
Chasing Hitler: Issues 2-4,Eli Nitz for my daughter Hayley Nitz,US,Comic Books,115,9995,10636,1,Did Hitler escape Nazi Germany?  Our Allied heroes Alex Taylor and Conner Walsh are...Chasing Hitler.
"Dog, Pony, Elephant, or Ass? A CoM project.",Jared Hasaname,US,Experimental,2,2500,250,0,"Which would you elect?  A dog, pony, elephant, or ass?  Pick an animal, get a postcard!  (Or a ring, if you want!)"
Moving Water Uphill - ZPE Legacy of Babylon,Anthony Scotti / Subtle Energy Paradigms,US,Technology,5,40000,214,0,Quantum Tech DIY! Ancient 'water engine' will change how we view energy. Join us as we improve our neighbors lives around the planet.
Tha Slumber Party,Hortense Williams,US,Television,0,25000,0,0,"A local Houston TV show, Tha Slumber Party, is a night time, lingerie wearing,talk show involving 4 exotic women who are best friends,"
F.A.B Football Magazine,John Griffin,US,Journalism,1,100000,10,0,The football magazine for coaches who work at mid to small sized schools.
Transmigrant Interdimensional Taxicab Service #2 & #3,Colton Sorrels,US,Comic Books,175,2800,5932,1,Drunk cabbie & irritable cat navigator get mixed up with kickass girl detective as they cause mayhem of cosmic proportions in Seattle.
Occam's Razor - Simplify Your Shaving - By The Blades Grim,Luke Webster - The Blades Grim,US,Product Design,386,20000,44411,1,Let Occam's Razor simplify and improve the way you shave. A beautiful design with unmatched functionality.
Super Chibi Round 2 - Reboot,MidKnight Heroes,US,Tabletop Games,65,1250,1665,1,"Last time, we started something SUPER. Now, it's time to make it GREAT. Welcome to Super Chibi Round 2; more characters, more Chibi!"
6mm Sci-Fi Soldurios & Nanotech Warriors,Lonnie Jones,US,Tabletop Games,16,100,484,1,Designing original miniatures for an original sci-fi universe. RPG & skirmish rule-sets to follow.
Riyria Graphic Novel: Epic Fantasy (The Death of Dulgath),Dabel Brothers Publishing,US,Graphic Novels,801,25000,37116,1,Michael J. Sullivan's best-selling novel The Death Of Dulgath comes to life as a graphic novel illustrated by the amazing Max Raynor.
Greg and Amber Wheeler - Worship EP,Greg & Amber Wheeler,US,Music,7,24500,947,0,"Partner with us as we create our first EP that we hope will inspire, encourage, and awaken hearts to the love of God."
Getting Back Up,Alex Massey,US,Publishing,4,5000,45,0,Help me cure the growing illness in America called homelessness. I'm using this story to shed light on a dark subject.
Sci-fi N.I,Ryan Wade,GB,Public Art,0,8000,0,0,"Bringing a unique sci-fi experience to all of Ireland based off the popular classic time travelling tv show, the one with the blue box."
Earth T's,Mark Wallace,US,Apparel,1,15000,1,0,T- Shirts that educate people about environmental issues and educate people about Green technology. Visit www.earthts.com
Hurricane Artificial Intelligence DJ,Boombotix,US,Gadgets,108,250000,17367,0,The Hurricane is a voice-activated DJ with artificial intelligence. It learns and plays the music you like to hear.
Sentenced To Hell,Ore Burgett,US,Graphic Novels,1,80000,10,0,a man named Michael has to fight to survive in hell for 300 years every time he dies his 300 year sentence starts over
TileDynasty FPS Arena,Peter Tan,CA,Video Games,2,7500,16,0,"A fast paced FPS game, centred around fluid movement, whizz through maps while destroying your opponents in several game modes."
HidaWipe - Luxurious cleaning wipe cover,John Ericsson,US,Crafts,3,10000,130,0,HidaWipe is a decorative storage container for various types of tissue wipes.
Makersleeve - The clever laptop case that is made on-demand.,Martijn van Strien,NL,Product Design,58,10000,2686,0,"Makersleeve perfectly fits all your smart devices and can be made on-demand at your local Makerspace, anywhere in the world, anytime."
The Anime Fantasy Art of Fuzichoco,Playing Grounded Puzzles,US,Puzzles,68,9200,5275,0,"Delve into the magical worlds of renowned Japanese artist and illustrator, Fuzichoco, with our collector quality jigsaw puzzles."
THE VEGAN PIN,INDIKORO,US,Product Design,17,400,470,1,Find new friends + spread awareness by wearing \\
\\,Christopher Bronson \\,US,Music,112,8000,11124,1,"3 years in the making. 10 stirring songs. 2 hidden tracks. 8000 dollars. 1 wordsmith, who goes by 1 letter. Made possible by you."
Hustle,Rekha Shankar,US,Comedy,259,11970,13441,1,Hustle is a video game-themed series about two WOC chasing creative dreams while fighting the supervillain of unequal opportunity.
Phantasma Tarot,Nate Hillyer,US,Illustration,40,350,2090,1,"Phantasma is a tarot-inspired card deck influenced by biblical views on life, death and the afterlife."
Giant Squishable Foam Dice - Second Wave,Minion Games,US,Tabletop Games,534,2500,15965,1,"Perfect for a quiet individual, learning activities, kids toy... OR for throwing at your RPG Game Master, punish an abusive character,"
LoogleMaps - Find the nearest Loo!,J.Paz & E.Murphy,IE,Apps,18,30000,182,0,LoogleMaps is an app that will lead you to the nearest toilet by using GPS. Standard of facilities will be endorsed by previous patrons
Audio Harness Prototype Build,Dory Black Hawk,US,Technology,2,68000,6,0,Multi-Access Tuner(prototype) - taking the Tuner to the next level by harnessing multiple inputs to one access point
Children are Natural Scientists - Science is the Future!,Jumbo Minds,US,Children's Books,114,10550,11108,1,Wish we had this Science ABC book set when we were little!  Help  spark a love of science and inspire future STEM innovators!
YourWays-Travel for free,Turcu Codrin,GB,Web,0,10000,0,0,"A social platform where anyone can find anything about traveling for free like projects, camps,youth exchanges,etc."
The Last Revelations,Andr Lapointe,CA,Nonfiction,0,5000,0,0,"A book from a manuscript, given to me by a strange man, about the \\"
Out Last: Westbrooke (Canceled),PsychoCat,US,Tabletop Games,123,15000,13194,0,An intense 2-5 player survival tabletop game set in a zombie infested city  doomed for nuclear explosion.
Willow park; an eco-friendly woodland project,Jack Powell,GB,Crafts,2,25000,100,0,Help me develop my dream of building my very own beautiful and inspiring eco-friendly homestead and eco-campsite in the woods.
Color Box,Nacho Crespo-Luis Chamarro,ES,Video Games,2,2000,4,0,Rotate the cube to get the ball into respective color hole! It's easy to play but imposible to win. Get higher score than your bro's!
Portland Sneaker Duffel:The Unrivaled Carry-On Bag For Kicks,LEXDRAY,US,Product Design,21,85000,6215,0,"An innovative duffel bag thoughtfully designed around carrying your favorite shoes, plus a weekend's worth of essentials."
"PHONEMOTE - Universal TV, Cable, Apple TV and Garage Remote",PopularTek.com,US,Technology,25,15000,805,0,"The World's FIRST Universal Remote Phone Case: for your most used devices. TV, Cable, Satellite, Apple TV, Garage Remote, Gate Remote !"
Jon Stickley Trio's NEW ALBUM w/ Dave King+EP RELEASE!,Jon Stickley,US,Music,428,28000,29120,1,"Pre-order our NEW ALBUM, produced by Dave King (The Bad Plus), and also receive an advance copy of our NEW 5-song EP!"
VeggieWall - The Urban Food Solution,Jen McGuinness,CA,Product Design,93,50000,33217,0,"We have created an easy to use, convenient and space saving garden that fits seamlessly in your home. Nourish yourself with fresh food."
Build Your Own Watches,tommychow2001,HK,Product Design,1,300000,10,0,"With the designer to create your own innovation, unique watches.To family, to lovers, to friendsA holiday surprise"
PARTY TIME Watches,Will,US,Accessories,7,50000,234,0,These watches flash \\
Setup costs for deaf animation studio using sign language,Mark Beazley,US,Animation,2,7000,35,0,I am needing startup costs to have my studio up and running for deaf with 3d animations using sign language ( American) for deaf.
Bears vs Babies - A Card Game,Elan Lee,US,Tabletop Games,85581,10000,3215679,1,A monster-building card game from the creators of Exploding Kittens
Ear Protector,Maryam vakilian,US,Product Design,3,17000,35,0,"EarCover protects your ears from burns, hair dye, and other unwanted substances when drying, coloring, or ironing your hair."
Lovecraftkalender 2017- 12 mnader av fasa!,Eric Idebro,SE,Illustration,59,15500,18510,1,Vill du vakna varje morgon och knna hur vansinnet nrmar sig? D r Lovecraftkalendern 2017- 12 mnader av fasa perfekt fr dig!
Bound with Love,Amanda Elliott,US,Accessories,0,5000,0,0,Doesn't everyone deserve to be lavished with comfort and luxury? Bindings should reflect this devotion with style and grace.
Anti-Surveillance Coat: Protects you and your privacy,Project KOVR,NL,Design,34,15000,9007,0,This metalliferous Anti-Surveillance Coat blocks every in- and outgoing signal. Keeping you safe in an information-driven environment.
"The Radsoles - 30 Year Anniversary Retrospective, 2 Disc Set",The Radsoles,US,Indie Rock,6,4500,345,0,"Anthology of recordings (live and studio) including never before released material, outtakes, rare photos. Compiled in 2 disc package."
The Teddy Bear Book,TheArtistAmarA,US,Children's Books,8,26,269,1,"The Teddy Bear Book: A book of love, life, and wonder  to read every child to sleep & stay with them all their life."
"Hold Some History - Pens made from Ancient Bog Oak, v2",Joel Lockridge,US,Woodworking,59,1500,3744,1,"Between 4,000 and 6,000 years old, the wood is in the earliest form of fossilization and is older than the pyramids. Hold some history."
VikyArt-Handmade with Love,Plasiciuc Natalia,US,Accessories,0,7500,0,0,Things made with passion and love  make people feel close to you.
Miss UnderStood,Eric Davenport,US,Shorts,0,30000,0,0,"If you have ever said something to someone and they Completely turn it inside out, then this film is for you"
Down Clown Movie,James McGorry,US,Film & Video,0,250000,0,0,This movie is about Joey who is a down on his luck clown and wishes to get a life.He tries to do this by meeting people on the internet
Sustainable leather bags,STUFFORHUMANS,AU,Accessories,37,15000,15461,1,Bags made with as little impact as possible on the humans that make them and the planet we live on. Groovy bags with heart!
Mujercita T-shirt,M.U.J.E.R.citas,US,Apparel,6,500,235,0,Our new creation representing Latina/Chicana empowerment.
Heaven Is A Long Way Away,Greg Farnum,US,Drama,0,2000000,0,0,It's a dramatic film about the individual search for personal happiness from a collection of connected characters.
Bio Mood - 100% Organic Toothpaste in a Glass Jar,Bio Mood,ES,Product Design,14,20000,184,0,The Ideal product with perfect properties for Healthy and Beautiful Smile!
\\,"WaveWorks, Inc.",US,Wearables,21,1000,2900,1,"Seamlessly blends in technology, art and social networks..."
WAYNARD/Recording Project w Members of RAINBOW FULL of SOUND,Waynard Scheller,US,Rock,5,5000,125,0,"For the past 2 yrs I've been working on writing my 1st full-length album,and now turning to you folks to help bring it into the world."
My Happiness Toolbox,Damjan and Jrg,DE,Web,22,15000,728,0,Tools that help you discover ways to implement changes leading to a happier and more fulfilling life  despite everyday problems.
KANJIVOR - Learn Japanese Kanji quickly!,Andriamifidy,FR,Mobile Games,109,7500,3311,0,"A user-friendly application with mnemonic images and texts plus spaced repetition to master the 2,136 official Japanese characters."
Supportive Bralettes for Everyone (YES!) by Uye Surana,Uye Surana,US,Ready-to-wear,214,10000,17152,1,"We believe that everyone who wants to wear beautiful lingerie deserves gorgeous designs, thoughtfully made, with comfort in mind."
"Broad, Casted",Rachel Barnhart,US,Nonfiction,168,6400,7641,1,"Broad, Casted is about making the leap from journalism to politics, taking on the establishment & dealing with sexism along the way."
Nein Means No - Boston University Undergraduate Thesis Film,Matthew C. Buckley,US,Comedy,63,3600,3778,1,Just your typical comedy adventure musical nazi film (anti-nazi film).
AStrategy: A Personal Guide To & Through College,Roderick Rogers,US,Apps,1,100000,1,0,Do It Yourself Recruiting Tool https://play.google.com/store/apps/details?id=com.app.astrategyhttps://itunes.apple.com/us/app/ast
"Jesus, King of Edessa -- historical documentary",ralph ellis,GB,Film & Video,11,380000,541,0,"Discovering Jesus in the historical record - documentary.  (King) Jesus Em-Manuel was King Izas Manu VI of Edessa, a real king."
The Game Room - A Puzzle Adventure You Host at Home,Black Toad Games,US,Tabletop Games,69,4000,4305,1,A board game themed puzzle adventure you can play at the kitchen table or host as a live-action game at your next party. 2-16 players.
Echo-S voice project,Tsunamods,IE,Video Games,2,5000,56,0,Echo-S is a mod to be incorporated into the game Final Fantasy 7 as a nostalgic means for the original fans as well as newcomer's
Documental Padre de la guitarra/ Guitar's Father Documentary,Ral Enrique Navarro Lpez,ES,Documentary,4,3000,55,0,La vida del enigmtico inventor de la guitarra (500000$ valor)The enigmatic life from guitar creator(50000$ were paid for some guitars)
Cosplay Calendar Featuring Exclusive Costumes for Each Month (Canceled),Casey,US,Photography,1,5000,50,0,"Sexy cosplay calendar! Handmade and store bought costumes make this calendar project one of a kind, fun, and sexy as hell!"
SOWATCH,FARASHA LLC,US,Wearables,2875,100000,362465,1,"The worlds first autonomous smartwatch that tracks cardiovascular health, blood pressure and customizes your workouts !"
KiQ: The Personal Assistant with Personality Desk Gadget,James Hymel,US,Gadgets,542,50000,38934,0,Meet the pet of the future: KiQ will keep you organized and entertained at work and home.
Universal Language App,Thomas Abraham,GB,Software,14,25000,442,0,"Universal Language App, communicate with anyone irrespective of language, break the language barrier...!!!..."
Simplify the return of lost valuables.,Daniel,NL,Wearables,4,10000,30,0,Finders Fee Tags are small stickers that allow you to tag your valuables the same way you tag your bags at the airport.
is it about love?,k1,US,Music,1,10000,1,0,This project is for the people. It is about me aiming to explore my personal struggles and experiences and link them with other people
Gamers for Good Presents: Undertale Charity Fanart Book,Gamers for Good,US,Video Games,1180,23456,66563,1,Gamers for Good unites Undertale fans across the world to battle for mental health.
The Cat Mod - Modular Climbing Systems,CatastrophiCreations,US,Product Design,194,10000,36709,1,Our modular design offers limitless freedom to create the perfect custom space for your cat.
Rayme's 1st EVER Photo Exhibition,Rayme Silverberg,US,Fine Art,10,500,530,1,"Help me participate in my first EVER photo exhibition with RAW Artists, fulfilling my dream to showcase my photo's to the public!"
Brick Green Designs  good knickers from the inside,Jessica Purbrick,AU,Apparel,2,10000,1050,0,"Knickers that are good for your bum and good for the world using bright fabrics, natural fibres and ethical manufacturing."
Follow,Ben Robbins,US,Tabletop Games,1554,2500,36424,1,A game about working together (or falling apart) by the creator of Microscope and Kingdom
D&D for the Blind!,Jim Smith,US,Tabletop Games,37,50000,894,0,"Theatre of the Mind, with YOUR help, is bringing the world of Dungeons & Dragons to the Blind and Low Vision Community!"
Military Magicians,Fermin X Garcia,US,Art,2,10000,20,0,We will provide service members a brotherhood. We provide willing service members to magic related material/resource.
Black Box By B.Studio,brossas,FR,Fine Art,2,25000,1600,0,studio Vido et Photo en pays de la loire
The Aspect - Reinventing the Grow Light for Interior Design,Soltech Solutions LLC,US,Hardware,120,9500,17277,1,World's first LED decor grow light that turns your plants into show pieces. Adding beauty and foliage to your home like never before
"Drama-Free & Happy! - Shirts, Hats, Mugs, Keychains, etc.",PHILIP BOYD,US,Apparel,0,65000,0,0,"Live, Drama-Free & Happy! ...  Need funding for shirts, hats, key chains, stickers and mugs."
A Book of Poetry by Beverly Jarosz: Unfulfilled,Shane L. Waters,US,Poetry,39,2000,2760,1,"Beverly Jarosz dreamed of one day publishing her poetry, but in 1964 an unknown killer took her voice away. Now we are returning it."
Sliced Quarterly Vol. 1 - An Experimental Comic Anthology,Ken Reynolds,GB,Anthologies,108,2700,1841,0,Sliced Quarterly Vol. 1 collects 4 issues of the experimental comic anthology. We showcase simple stories told in extraordinary ways.
Gnomes and Associates,Happy Games Factory,FR,Tabletop Games,620,35000,56578,1,Gnomes & Associates is a  game to discover the world of boardgames - Board Games with miniatures  for all the family as the gamers !
The Perfect Pullover: How alpacas can change lives,VIRT shared sense,DE,Ready-to-wear,211,20000,22402,1,"Creating timeless fashion for men, while empowering communities across Latin America."
Eureka Bowl : the best no-ants bowl ever for cat & dog.,Gianfilippo Bellomare,IT,Product Design,22,500,813,1,"Our ingenious no-ants bowl system is the smartest, cleanest and beautiful bowl for your cats & dogs. Keep ants out with water only."
Stylish & Strong Custom Handmade Paracord Dog Accessories,Brody Redl,CA,Pet Fashion,6,500,329,0,"Our handmade Paracord Dog products are strong,sturdy and lightweight! Making them perfect for dogs of all sizes and behavioral needs!"
Pastries Shop in Vietnam,Stone Hoang,HK,Small Batch,0,100000,0,0,Simple Kitchen is an online bakery shop and offering baking classes as well. We specialize in serving French and Japanese cakes at the
The Base Coworking Space (Canceled),Ike Echebiri,US,Technology,20,15000,1360,0,"The base will be a vibrant 24hr small business, tech and event space in Harlem, incubating ideas and offering hope to future startups."
Eight \\,Mathias Lind Losnegaard,NO,Fiction,1,8000,5,0,I'm currently working on eight different stories that will leave my readers both feel and think afterwards.
A MESSAGE FROM THE TEMPLE,Unclean Pictures,US,Documentary,950,50000,65589,1,The story of an international \\
ClutchIt! : The World's First Anywhere Magnetic Phone Mount,Hong Wang,US,Gadgets,2404,50000,122529,1,"Using patent-pending technology, ClutchIt takes a sleek and sexy approach to create the world's first anywhere magnetic phone holder!"
(Wo)men Rule Broadway: ROUND 2,(Wo)men Rule Broadway,US,Theater,123,5000,6356,1,(Wo)men Rule Broadway is a live theatrical show in which women sing and perform roles and songs originally written for men.
Send Trump to Mars,Concerned Citizens of America,US,Flight,19,10000,76,0,Send Donald Trump to Mars.  We'll design a Trump delivery system to send the orange one to the red planet.
Roma - Connecting Digital Nomads,Roma,US,Apps,22,10000,708,0,"We are travelers, working professionals, wanderers, explorers, world citizens. They call us digital nomads. And Roma connects us."
Scott the Rabbit makes Fettuccine Alfredo kids book!,Ross Hendrickson,US,Children's Books,15,1600,1610,1,Follow Scott the Rabbit and his mother on their journey to learn about and gather all the ingredients to make Fettuccine Alfredo!
FUTO - The Worlds Most Ultimate Air Mattress and Pillow,Futo lab,US,Product Design,1609,15000,140708,1,"The last air mattress and pillow you will ever need! Easy to inflate, comfortable, durable, colorful and easy to carry!"
Moby V,Savannah Dunn,US,Fiction,70,3000,3144,1,"The dystopian sci-fi novella, Moby V, explores the bloody consequences of inequality and revenge on a generational space ship."
AprzOfficial,Alex,US,Mixed Media,1,500,20,0,"We're committed to what's important; Friends, family, and progression.We create art that represents you and what you stand for."
Coin Pusher Simulator - plus other coin games. VR Ready.,Jesus Moreno,ES,Video Games,7,5000,61,0,MoneyFalls coin pusher simulator with full physical coins as well as other coins machines. VR Ready.
The Gospel That Sticks - Unique Christian Bumper Stickers,Ryan Pietrzak,US,Graphic Design,8,1500,413,0,My passion is to create unique Christian Bumper stickers that will help share the Love of Christ! You can help this dream come true!
Thieve & Deceive,Dice Armory,US,Tabletop Games,35,10000,1561,0,"Want to be the King of Thieves? Out scheme your friends in this simple, social and competitive party game designed for any skill level."
Frokenloken Jewellery Design,Nathalie Hedin & Sara Einarsson,SE,Jewelry,28,55000,21845,0,With a simple and timeless design of the finest quality we want to be a contrast to today's throw-away society.
Lazer Ryderz! The Totally Rad Tabletop Racing Game!,GreaterThanGames,US,Tabletop Games,1267,30000,55033,1,"A high-speed, high-energy, trackless racing game with light push your luck, area denial, and strategy elements. Ride the LAZER!"
